Name,Symbol,Ticker
malayan-banking-bhd,MBBM,MAYBANK
public-bank-bhd,PUBM,PBBANK
tenaga-nasional-bhd,TENA,TENAGA
top-glove-corporation-bhd,TPGC,TOPGLOV
petronas-chemicals-group-bhd,PCGB,PCHEM
hartalega-holdings-bhd,HTHB,HARTA
ihh-healthcare-bhd,IHHH,IHH
maxis-bhd,MXSC,MAXIS
bumiputra---commerce-holdings-bhd,CIMB,CIMB
sime-darby-plantation,SIPL,SIMEPLT
hong-leong-bank-bhd,HLBB,HLBANK
petronas-gas-bhd,PGAS,PETGAS
nestle-(malaysia)-bhd,NESM,NESTLE
digi.com-bhd,DSOM,DIGI
misc-bhd,MISC,MISC
axiata-group-bhd,AXIA,AXIATA
ioi-corporation-bhd,IOIB,IOICORP
press-metal-bhd,PMET,PMETAL
ppb-group-bhd,PEPT,PPB
kuala-lumpur-kepong-bhd,KLKK,KLK
hap-seng-consolidated-bhd,HAPS,HAPSENG
supermax-corporation-bhd,SUPM,SUPERMX
dialog-group-bhd,DIAL,DIALOG
rhb-capital-bhd,RHBC,RHBBANK
petronas-dagangan-bhd,PETR,PETDAG
hong-leong-financial-group-bhd,HLCB,HLBANK
telekom-malaysia-bhd,TLMM,TM
sime-darby-bhd,SIME,SIME
kossan-rubber-industries-bhd,KRIB,KOSSAN
